frame,left_elbow,right_elbow,left_knee,right_knee
273,156.77,161.18,176.26,171.32
274,157.82,162.06,176.7,171.2
275,158.58,163.49,176.37,171.13
276,157.76,163.04,176.68,171.49
277,156.23,162.88,177.23,170.5
278,154.76,160.18,177.29,170.46
279,151.42,156.79,177.71,170.06
280,146.83,152.68,176.89,170.95
281,141.02,143.18,179.83,172.72
282,136.86,142.05,179.87,172.23
283,136.32,140.85,179.09,172.23
284,137.31,140.9,178.8,172.66
285,136.68,141.03,179.03,172.99
286,131.86,138.97,179.4,173.24
287,125.31,134.8,179.98,173.32
288,113.97,124.64,179.17,173.49
289,105.7,109.42,177.06,173.94
290,68.82,91.94,176.46,172.69
291,42.1,56.58,174.99,173.04
292,33.66,37.01,175.46,172.45
293,26.5,16.61,176.15,172.52
294,3.3,0.63,176.11,172.69
295,4.38,2.05,178.2,172.93
296,7.81,5.68,179.26,171.83
297,5.38,2.31,179.6,170.12
298,1.45,0.77,178.67,171.89
299,7.81,9.36,173.21,175.29
300,3.92,3.71,178.53,174.04
301,6.91,4.91,177.3,172.89
302,7.82,4.97,177.73,172.82
303,11.12,6.5,177.58,173.15
304,10.59,5.61,178.65,174.48
305,11.88,11.6,172.28,179.58
306,12.51,13.24,172.1,179.34
307,12.95,9.62,177.46,174.41
308,17.88,13.25,176.99,173.45
309,19.92,15.66,176.55,173.2
310,24.14,18.94,177.25,172.79
311,30.96,24.94,172.26,177.11
312,33.56,29.25,171.09,176.5
313,33.87,31.89,170.61,175.95
314,39.41,37.54,169.2,176.4
315,34.88,33.83,168.28,176.87
316,31.57,34.87,168.4,178.02
317,25.43,24.81,175.65,173.3
318,31.4,28.77,176.47,174.58
319,35.52,26.92,175.81,174.57
320,35.33,27.09,175.92,174.59
321,23.1,21.24,176.63,173.64
322,20.24,20.37,176.15,174.21
323,16.12,9.17,170.59,176.5
324,11.16,5.34,170.43,177.71
325,12.79,3.1,171.96,176.4
326,16.15,2.3,178.75,175.76
327,68.16,118.28,178.94,176.12
328,123.54,135.05,179.8,174.62
329,137.91,149.67,178.71,175.7
330,147.89,154.09,179.42,175.69
331,151.21,155.07,177.76,174.41
332,151.89,154.98,178.54,174.33
333,152.54,156.42,178.32,173.99
334,152.76,157.03,178.45,174.09
335,152.85,157.29,178.83,174.64
336,152.32,157.38,179.18,174.65
337,152.89,157.5,179.07,174.54
338,153.94,157.99,178.7,174.52
339,158.68,164.13,180.0,172.01
340,155.13,159.18,178.72,174.68
341,155.64,158.87,179.25,174.85
342,154.56,159.17,179.8,175.31
343,153.65,157.84,179.55,175.29
344,151.7,156.61,179.52,175.82
345,150.84,154.71,179.25,176.41
346,149.43,151.92,179.3,176.94
347,147.52,150.9,179.42,175.76
348,147.33,151.19,178.3,175.25
349,146.47,150.55,178.78,175.36
350,148.09,149.85,176.34,173.72
351,147.87,153.28,176.66,173.25
352,151.06,160.77,179.7,171.08
353,154.08,158.85,179.71,170.76
354,153.9,157.75,179.7,171.79
355,155.77,161.11,179.7,172.53
356,160.27,166.7,179.17,172.59
357,163.33,168.42,178.42,174.42
358,161.99,168.05,177.15,174.35
359,159.37,165.94,177.79,173.87
360,160.25,161.13,176.76,174.01
361,160.14,158.82,176.34,175.14
362,158.92,157.79,173.53,176.22
363,156.03,157.87,169.72,179.21
364,155.0,155.54,166.6,178.47
365,153.37,153.18,165.57,178.33
366,151.31,150.19,163.87,177.66
367,148.87,146.23,164.53,178.33
368,149.82,143.06,165.3,179.25
369,148.65,141.44,166.49,180.0
370,148.51,140.02,169.29,177.52
371,149.77,137.22,169.92,178.39
372,151.57,135.98,171.21,176.27
373,152.2,136.98,172.94,176.16
374,154.2,138.55,171.17,176.0
375,153.9,144.82,172.01,175.9
376,156.04,146.28,171.75,177.07
377,157.97,153.07,173.11,175.29
378,160.89,159.31,172.5,175.4
379,159.82,159.75,173.5,175.47
380,159.28,157.1,175.97,173.74
381,153.87,159.85,178.95,168.04
382,150.95,156.68,179.32,165.57
383,153.23,155.29,176.99,162.67
384,156.56,155.47,176.01,161.83
385,159.42,158.46,175.03,161.39
386,158.11,162.33,177.51,165.12
387,158.45,163.17,178.48,166.92
388,155.09,161.38,178.9,168.22
389,154.46,158.8,179.59,172.14
390,153.83,156.82,177.57,174.22
391,153.47,156.29,177.23,174.35
392,153.17,155.11,176.65,173.72
393,152.12,155.3,177.01,173.37
394,152.78,153.66,178.5,172.8
